Fecha,BRL,CLP,COP,KRW,ZAR,INR,MXN,PEN,PLN,CZK,RUB,THB,TRY,HUF,ILS,DXY,ARS,CNY,IDR,MYR
25/04/23,5.0524,812.2,4504.5,1332.4,18.3328,81.92,18.0755,3.7486,4.1885,21.4263,80.8651,34.382,19.4287,344.19,3.646,101.863,220.883,6.9327,14939.0,4.45
26/04/23,5.0457,805.6,4533.39,1336.45,18.3992,81.7675,18.1494,3.7245,4.1515,21.2944,82.076,34.205,19.4252,338.67,3.6358,101.467,221.5511,6.928,14836.0,4.4575
27/04/23,4.9824,802.13,4648.6,1337.95,18.3029,81.8438,18.0375,3.7162,4.1484,21.2907,81.5343,34.14,19.4373,338.32,3.6316,101.503,222.0065,6.9225,14707.0,4.4633
28/04/23,4.988,807.25,4688.9,1338.5,18.2902,81.8325,18.0003,3.7075,4.1604,21.3513,79.8783,34.143,19.4515,338.62,3.63,101.659,222.6365,6.9184,14674.0,4.4622
29/04/23,4.988,807.25,4688.9,1338.5,18.2902,81.8325,18.0003,3.7075,4.1604,21.3513,79.8783,34.143,19.4515,338.62,3.63,101.659,222.6365,6.9184,14674.0,4.4622
30/04/23,4.988,807.25,4688.9,1338.5,18.2927,81.8325,18.0025,3.7075,4.1594,21.3063,79.8783,34.143,19.4515,338.11,3.63,101.659,222.6365,6.9184,14674.0,4.4622
01/05/23,4.988,806.5,4694.44,1338.5,18.402,81.8325,17.939,3.7075,4.1981,21.5134,79.9438,34.143,19.4621,339.36,3.6216,102.151,222.6365,6.9184,14674.0,4.4622
02/05/23,5.0409,810.23,4687.1,1341.85,18.4737,81.8875,17.9795,3.7115,4.1637,21.4535,80.11,34.205,19.466,340.74,3.6411,101.958,224.6413,6.9184,14714.0,4.464
03/05/23,4.9945,803.9,4625.4,1338.1,18.29,81.83,17.9275,3.708,4.1494,21.2491,78.2632,34.03,19.4691,339.5,3.6372,101.343,225.1768,6.9184,14692.0,4.4552
04/05/23,4.984,798.5,4609.5,1322.6,18.2873,81.8,17.9137,3.7062,4.1681,21.2812,78.4035,34.03,19.4728,338.78,3.642,101.399,225.6853,6.9113,14685.0,4.4552
05/05/23,4.951,794.38,4526.65,1322.6,18.4074,81.8,17.7619,3.712,4.1528,21.2279,77.798,34.03,19.5125,337.47,3.6402,101.214,226.2158,6.9094,14678.0,4.4363
06/05/23,4.951,794.38,4526.65,1322.6,18.4074,81.8,17.7619,3.712,4.1528,21.2279,77.798,34.03,19.5125,337.47,3.6402,101.214,226.2158,6.9094,14678.0,4.4363
07/05/23,4.951,794.38,4526.65,1322.6,18.3969,81.8,17.7643,3.712,4.1493,21.2248,77.798,34.03,19.5125,337.2,3.6402,101.214,226.2158,6.9094,14678.0,4.4363
08/05/23,5.0097,797.35,4507.69,1321.15,18.331,81.8038,17.7975,3.7055,4.144,21.263,77.6611,33.8,19.5065,338.18,3.632,101.377,227.6003,6.9142,14711.0,4.437
09/05/23,4.9864,789.1,4568.86,1323.95,18.6341,82.0462,17.7735,3.6926,4.1534,21.3474,77.6602,33.722,19.521,338.65,3.6669,101.605,228.097,6.9205,14742.0,4.448
10/05/23,4.9446,788.2,4545.0,1324.9,18.8709,81.9925,17.5504,3.6709,4.1142,21.3648,76.175,33.665,19.5454,336.53,3.6456,101.477,228.5022,6.9304,14732.0,4.4585
11/05/23,4.9315,793.95,4590.9,1326.25,19.2051,82.0887,17.5783,3.6512,4.1585,21.5704,76.8949,33.725,19.5816,340.07,3.6449,102.058,228.9747,6.9489,14722.0,4.464
12/05/23,4.9214,785.0,4556.7,1334.45,19.3414,82.17,17.5932,3.661,4.1634,21.7549,77.6382,34.0,19.5842,341.41,3.6766,102.681,229.2387,6.9591,14751.0,4.48
13/05/23,4.9214,785.0,4556.7,1334.45,19.3414,82.17,17.5932,3.661,4.1634,21.7549,77.6382,34.0,19.5842,341.41,3.6766,102.681,229.2387,6.9591,14751.0,4.48
14/05/23,4.9214,785.0,4556.7,1334.45,19.1127,82.17,17.5774,3.661,4.1651,21.7329,77.6382,34.0,19.5842,340.73,3.6766,102.681,229.2387,6.9591,14751.0,4.48
15/05/23,4.8913,786.4,4491.0,1336.8,19.0297,82.3038,17.4334,3.6476,4.1416,21.715,79.7411,33.783,19.6731,339.44,3.6624,102.434,230.6438,6.9517,14805.0,4.4972
16/05/23,4.9409,799.33,4531.6,1338.85,19.0756,82.215,17.5018,3.695,4.131,21.7783,80.6823,33.96,19.7264,339.55,3.653,102.564,231.1143,6.9773,14820.0,4.499
17/05/23,4.9374,793.58,4502.0,1337.6,19.2521,82.39,17.596,3.6905,4.1685,21.8344,80.2692,34.257,19.7462,341.12,3.643,102.882,231.617,6.9965,14869.0,4.5262
18/05/23,4.9653,795.66,4530.8,1334.05,19.3328,82.5938,17.7184,3.6937,4.2178,21.9931,80.3903,34.335,19.7951,348.51,3.6451,103.584,232.1273,7.0375,14869.0,4.538
19/05/23,4.9982,798.64,4533.7,1326.6,19.4517,82.665,17.7859,3.6855,4.2006,21.9923,80.3195,34.38,19.8125,347.62,3.6417,103.198,232.8415,7.012,14930.0,4.5378
20/05/23,4.9982,798.64,4533.7,1326.6,19.4517,82.665,17.7859,3.6855,4.2006,21.9923,80.3195,34.38,19.8125,347.62,3.6417,103.198,232.8415,7.012,14930.0,4.5378
21/05/23,4.9982,798.64,4533.7,1326.6,19.431,82.665,17.7507,3.6855,4.1926,21.9771,80.3195,34.38,19.8125,347.77,3.6417,103.198,232.8415,7.012,14930.0,4.5378
22/05/23,4.9678,796.01,4527.75,1318.25,19.2248,82.83,17.8983,3.692,4.1628,21.9162,80.4424,34.45,19.8122,345.91,3.6573,103.198,234.4113,7.032,14890.0,4.5492
23/05/23,4.9721,802.7,4548.4,1312.5,19.202,82.805,17.9745,3.6805,4.1657,21.9983,80.2794,34.68,19.839,348.75,3.701,103.488,234.9358,7.056,14875.0,4.5725
24/05/23,4.9604,807.3,4446.6,1317.5,19.247,82.67,17.8017,3.6713,4.1905,22.0255,80.4469,34.537,19.8968,346.42,3.7196,103.887,235.737,7.0609,14900.0,4.5935
